DATE,WeeklyEarning
1/1/1979,335
4/1/1979,335
7/1/1979,330
10/1/1979,326
1/1/1980,321
4/1/1980,315
7/1/1980,319
10/1/1980,315
1/1/1981,314
4/1/1981,311
7/1/1981,309
10/1/1981,312
1/1/1982,312
4/1/1982,314
7/1/1982,311
10/1/1982,313
1/1/1983,315
4/1/1983,314
7/1/1983,315
10/1/1983,312
1/1/1984,313
4/1/1984,312
7/1/1984,313
10/1/1984,316
1/1/1985,314
4/1/1985,323
7/1/1985,320
10/1/1985,320
1/1/1986,321
4/1/1986,328
7/1/1986,328
10/1/1986,331
1/1/1987,328
4/1/1987,328
7/1/1987,330
10/1/1987,328
1/1/1988,329
4/1/1988,325
7/1/1988,325
10/1/1988,324
1/1/1989,323
4/1/1989,322
7/1/1989,322
10/1/1989,322
1/1/1990,319
4/1/1990,319
7/1/1990,313
10/1/1990,312
1/1/1991,316
4/1/1991,312
7/1/1991,312
10/1/1991,313
1/1/1992,315
4/1/1992,313
7/1/1992,314
10/1/1992,312
1/1/1993,315
4/1/1993,317
7/1/1993,319
10/1/1993,319
1/1/1994,316
4/1/1994,317
7/1/1994,314
10/1/1994,314
1/1/1995,313
4/1/1995,314
7/1/1995,317
10/1/1995,313
1/1/1996,312
4/1/1996,312
7/1/1996,314
10/1/1996,313
1/1/1997,313
4/1/1997,314
7/1/1997,314
10/1/1997,314
1/1/1998,319
4/1/1998,319
7/1/1998,321
10/1/1998,328
1/1/1999,324
4/1/1999,329
7/1/1999,330
10/1/1999,335
1/1/2000,334
4/1/2000,334
7/1/2000,335
10/1/2000,334
1/1/2001,333
4/1/2001,336
7/1/2001,338
10/1/2001,340
1/1/2002,341
4/1/2002,339
7/1/2002,337
10/1/2002,336
1/1/2003,335
4/1/2003,338
7/1/2003,337
10/1/2003,337
1/1/2004,337
4/1/2004,341
7/1/2004,335
10/1/2004,337
1/1/2005,336
4/1/2005,334
7/1/2005,331
10/1/2005,332
1/1/2006,332
4/1/2006,329
7/1/2006,334
10/1/2006,337
1/1/2007,336
4/1/2007,335
7/1/2007,336
10/1/2007,332
1/1/2008,335
4/1/2008,335
7/1/2008,331
10/1/2008,340
1/1/2009,345
4/1/2009,345
7/1/2009,345
10/1/2009,344
1/1/2010,344
4/1/2010,342
7/1/2010,342
10/1/2010,341
1/1/2011,338
4/1/2011,336
7/1/2011,336
10/1/2011,335
1/1/2012,335
4/1/2012,337
7/1/2012,333
10/1/2012,333
1/1/2013,331
4/1/2013,335
7/1/2013,334
10/1/2013,334
1/1/2014,335
4/1/2014,330
7/1/2014,336
10/1/2014,336
1/1/2015,341
4/1/2015,339
7/1/2015,340
10/1/2015,345
1/1/2016,346
4/1/2016,345
7/1/2016,347
10/1/2016,349
1/1/2017,352
4/1/2017,354
7/1/2017,352
10/1/2017,345
1/1/2018,351
4/1/2018,351
7/1/2018,354
10/1/2018,355
1/1/2019,355
4/1/2019,358
7/1/2019,360
10/1/2019,362
1/1/2020,367
4/1/2020,393
7/1/2020,384
10/1/2020,377
1/1/2021,373
